WORK_NAME,SALAY,COMPANY,COMPANY,POST_URL,ADDRES,jobType,eduLevel,workingExp,detail
架构师（区块链）,,北京红赢科技有限公司,北京红赢科技有限公司,https://jobs.zhaopin.com/CC600327385J00111484912.htm,北京,"软件/互联网开发/系统集成,系统架构设计师",本科,5-10年,职位描述 您的工作包含但不限于： 1.参与公司区块链相关产品的架构设计工作。 2. 参与模块设计开发，业务逻辑开发等工作。 3. 解决开发中遇到的技术问题。 4. 参与系统性能优化，线上问题解决。 5. 参与制定和实施技术决策和技术方案，升级优化，性能优化，线上问题解决； 任职要求： 1.统招本科及以上学历，计算机、软件工程、物理或数学专业； 2.5年以上互联网公司Java开发工作经验，代码编写规范，编程基础扎实，逻辑思维能力强； 3.精通Java语言，了解C、C++、PHP、Python、Golang等常见语言； 4.对整个 J2EE 解决方案有深刻的理解及熟练的应用，精通Spring家族、SpringBoot，SpringCloud、Double，Hibernate、Mybatis等开源框架； 5.熟悉MySQL、SQLServer、Oracle等主流数据库中的一种； 6.熟悉html、xhtml、css、javascript、Ajax等； 7.熟悉常见的数据结构和算法； 8.有高并发，高性能系统开发、优化经验者优先考虑； 9.有金融产品开发应验优先考虑； 10.熟悉区块链基本原理及数字货币基本原理者优先考虑； 11.工作有激情，能承受压力。 工作地点 北京市海淀区银网中心 查看地图
组态工程师,,北京天时前程自动化工程技术有限公司,北京天时前程自动化工程技术有限公司,https://jobs.zhaopin.com/CC150496011J00123153509.htm,北京,"软件/互联网开发/系统集成,软件研发工程师",本科,3-5年,职位亮点 五险一金 补充医疗保险 绩效奖金 节日福利 周末双休 工作居住证 职位描述 1、参与WinCC OA系统整体技术框架与整体解决方案及代码开发，负责软件平台研发，包括功能设计、代码实现，确保软件的性能和可扩充性，参与软件开发项目管理工作；2、负责WinCC OA系统平台代码研发；3、负责与需求人员接口，熟悉项目的需求规划说明；4、负责所承接功能模块开发计划的执行；5、协助工程项目实施；6、与测试人员接口，完成相关功能模块的 BUG 修复。  任职资格：1、计算机相关专业本科及以上学历；2、良好的团队意识和协作精神，有较强的内外沟通能力；3、具备 3 年以上软件行业工作经验；4、具备2年代码编写工作经验；5、熟悉和掌握 C/C++/C#、Java、Python、Network.Net 等一种或多种编程语言，熟悉JQUERY、CSS、JAVASCRIPT等前端技术，具备数据库应用开发能力，熟悉 ODBC、JDBC、ADO .net、PHP 等一种或多种数据库开发接口标准，具备良好的编程风格；6、熟悉Kubernetes（K8s）和Docker者优先；7、熟悉组态开发；                                                           8、熟悉持续集成，测试和发布者优先。 工作地点 北京市石景山区永引渠南路18号互联网+创意产业园 查看地图
人工智能高级项目讲师,,北京八维研修学院,北京八维研修学院,https://jobs.zhaopin.com/CC187965628J00100165810.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,3-5年,职位亮点 五险一金 餐补 绩效奖金 节日福利 房补 职位描述 岗位要求： 1、熟练掌握人工智能机器学习、深度学习等算法知识，并有行业应用经验。 2、编程语言：熟练掌握python，熟练掌握之一语言：C++、java。 3、熟练掌握两种以上技术或工具：云计算+大数据技术、异构数据库、python语言或人工智能常用开发框架、OpenCV等人工智能常用库或工具。 具备以下能力优先： 有一下经验或之一： 1) 主要项目或专业方向包括：自然语言、计算机视觉、数据挖掘、机器人应用系统开发经验。经验是指具备完整项目开发的技术能力和代码完成能力。需要两个以上实战大型项目经验。 2) 有一下能力或之一：具备并行计算、GPU计算或其他高速运算代码经验或能力；具备高级算法知识能力；海量数据高性能处理经验、大型应用开发经验、行业应用代表性项目能力或专家。 工作地点 海淀区上地软件园南路57号 查看地图
测试工程师,,沣邦融资租赁(上海)有限公司,沣邦融资租赁(上海)有限公司,https://jobs.zhaopin.com/405908185250439.htm,北京,"IT质量管理/测试/配置管理,软件测试",本科,3-5年,职位亮点 五险一金 交通补助 餐补 通讯补助 带薪年假 补充医疗保险 定期体检 职位描述 技能要求： 测试 自动化测试 白盒测试 性能测试 功能测试 岗位职责： 1. 构建适合金融技术发展需要的测试保障体系，制定和推进相关技术方案落地实施； 2. 参与产品需求和架构设计评审，评估整体技术架构合理性以及相关的可测性； 3. 通过制定测试相关流程、策略、方法和工具等创新，努力提升测试的质量和效率； 4. 沉淀通用测试解决方案，负责关键技术专项建设，开发相关工具平台； 5. 解决测试过程中的复杂技术问题； 6. 测试领域前瞻性探索，引领团队技术进步。 任职要求： 1. 统招本科及以上学历，工科、计算机或其他相关专业； 2. 3年以上软件开发、自动化测试或白盒测试工作经验； 3. 精通C/C++/Java/go/python/php等至少一种编程语言； 4. 熟悉软件开发和测试流程； 5. 具备广泛的技术视野和很强的技术前瞻性，对测试行业发展有自己的思考； 6. 具备较强的学习能力、分析能力和解决问题的能力； 7. 在某一测试领域比如性能、自动化、无线或者大数据测试等具备很强的专业技能者优先。 工作地点 丰台北路18号恒泰中心D座12层
风险分析与模型分析师-贷后数据,,北京恒昌利通投资管理有限公司,北京恒昌利通投资管理有限公司,https://jobs.zhaopin.com/CC392160220J00086167815.htm,北京-朝阳区,"银行,风险控制",本科,3-5年,职位亮点 五险一金 餐补 周末双休 节日福利 绩效奖金 带薪年假 职位描述 技能要求： 风险分析 数据分析 贷后风险 信贷产品 岗位职责： 1、 负责个人消费信贷产品风险监控，异常数据解读、深入分析，并形成分析报告 2、 风控策略分析，结合数据分析提出策略调整建议3、对接前端业务部门，根据业务风控水平、资产表现对业务部门提出风控建议 任职要求： 1、 金融、数学、统计学、计量经济专业本科或以上学历；  2、 熟练使用excel、word、ppt；熟悉统计建模软件，包括但不限于SAS/R/Python； 3、 3年及以上信贷风险管理、数据分析经验； 4、 对信贷风控流程有比较深入的了解，了解资产质量监控的主要指标；5、 有银行、消费金融公司、融资租赁公司从业经验优先 工作地点 北京市朝阳区八里庄陈家林九号院华腾世纪总部E1座5层 查看地图
大数据开发工程师,,上海及麦网络科技有限公司,上海及麦网络科技有限公司,https://jobs.zhaopin.com/CC272247937J00064778702.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,不限,职位亮点 14薪 五险一金 周末双休 年底双薪 绩效奖金 职位描述 岗位职责： 1、承担建设基于Hadoop/Hbase/Spark生态的大数据离线/实时处理平台； 2、负责公司大数据集群的构建、运维、开发工作，确保高可用。 3、负责集群容量规划、扩容及集群性能优化，参与大数据基础环境的架构设计与改进； 4、参与业务数据、生产日志的抽取、转储、检索等相关工作； 5、跟进大数据前沿技术的发展，将合适的技术方案适时引入业务场景； 任职要求： 1、统招本科以上学历，5年以上工作经验，至少2年互联网大数据经验；有实时处理工作经历并有一定解决方案者优先； 2、熟悉大数据开源技术，包含(不限于)Hadoop/Spark/Spark  Streaming/Hive/Hbase/Kafka/Solr/Es/Nosql等分布式框架/计算/存储/检索相关技术； 3、熟悉Linux操作系统的配置、管理及优化，能够独立排查及解决操作系统层面的问题； 4、掌握Java编程；熟悉Python或Shell一种脚本语言； 5、掌握SQL，Hive，SparkSQL进行数据开发；拥有较好的SQL性能调优经验； 6、优秀的分析、解决问题能力，充分的数据敏感度；有一定的高性能支撑经验和故障排除能力。 工作地点 海淀区中关村软件园 查看地图
系统架构师,,美亚宏信(北京)信息技术有限公司,美亚宏信(北京)信息技术有限公司,https://jobs.zhaopin.com/CC564433287J00131411911.htm,北京-海淀区,"软件/互联网开发/系统集成,系统架构设计师",本科,5-10年,职位亮点 创业公司 五险一金 周末双休 通讯补助 餐补 交通补助 定期体检 弹性工作 职位描述 1.主导业务系统架构设计，提出合理的技术解决方案并落地实施； 2.独立建立各种系统模型，业务子系统的架构设计及实现； 3.主导基础服务系统架构，设计具有高伸缩性、高可用性、高性能的分布式基础服务系统，为业务系统提供可靠而有力的支持； 4.构建贯穿开发、部署、运维的集群管理系统，整个系统实现实时的弹性运行； 任职资格要求： 1.精通架构设计、设计模式及模型驱动开发； 2.对技术有强烈的好奇心和追求，致力于研究提升系统可靠性、提升系统性能、提升开发运维效率； 3.具有扎实的计算机基础、数据结构和算法基础，熟练掌握java/c++/python/php等至少两种开发语言，对设计思想、设计模式有深入理解； 4.对大规模业务系统、分布式存储系统、集群管理系统等任一领域有浓厚兴趣和深入研究，有相关的研究成果； 5.五年以上的相关领域项目经验，较好的沟通和团队配合能力，以及对工作的强烈责任心； 6.全日制本科及以上学历。 工作地点 北京市海淀区东北旺西路8号5号楼二层207室 查看地图
运维工程师,,上海拓合软件系统有限公司,上海拓合软件系统有限公司,https://jobs.zhaopin.com/CC412346622J00282957707.htm,北京,"IT运维/技术支持,IT技术支持/维护工程师",大专,3-5年,职位亮点 五险一金 定期体检 职位描述 技能要求： 运维 Linux Python 职位描述： 1、负责大数据平台的软硬件日常运维工作，包括软件部署、配置、升级、管理、优化、监控报警； 2、负责分析大数据平台各个组件运行状态，负责大数据平台运行故障的分析、定位和解决，并根据业务场景进行定制优化； 3、负责业务集群日常问题的解答、汇总整理，定期反馈到研发，并跟踪解决进度等； 4、参与大数据集群自动化运维工具的设计与实施； 5、参与新技术、新组件的技术探索、测试和应用。 岗位要求： 1、大专以上学历，计算机相关专业；  2、熟悉UNIX/LINUX操作系统，具备基本的网络配置等操作； 3、熟练使用shell/Python，编写监控脚本； 4、熟练使用ORACLE数据库、SQL语言； 5、可以做中间键监控； 6、良好的学习能力、服务意识、良好的文档编写能力； 7、良好的服务意识和团队合作精神；  8、较强的责任心和沟通协调能力，能承担较大工作强度。 工作地点 北京市大兴区亦庄经济开发区大族广场T2栋15层1504室 查看地图
投资助理,,聚达(北京)投资有限公司,聚达(北京)投资有限公司,https://jobs.zhaopin.com/CZ521417430J00122536112.htm,北京,"证券/期货/投资管理/服务,证券分析/金融研究",本科,1-3年,"职位亮点 五险一金 周末双休 带薪年假 绩效奖金 节日福利 职位描述 岗位职责：1、研究开发股票的量化投资模型。并实施应用，为投资决策提供参考，负责跟踪策略的实盘表现，并不断优化和改进现有的量化投资模型。2、懂编程，有实际量化投资操作经验。3、金融数据挖掘及分析，整理行业及公司相关数据并汇总分析。4、盘后交易数据的汇总、分析，行成日报、月报。5、完成投资经理交办的其他任务。任职要求1、全日制本科及以上学历，金融相关专业，具有半年以上实习或工作经验；2、能够熟练使用choice/wind数据终端；3、具备一定的金融基础知识，熟悉股票及衍生品的性质和交易规则；4、具备较强的逻辑思维和数据分析能力，熟练使用MATLAB或Python,(C/C++更佳）；5、对财务分析、资产定价、优化算法、多元统计分析，具备一种以上实际操作能力；6、具备良好的沟通能力和团队协作能力，注重细节，富有责任心； 工作地点 朝阳区姚家园路105号观湖国际1座1109室 查看地图"
运维工程师,,北京艾迪信科技有限公司,北京艾迪信科技有限公司,https://jobs.zhaopin.com/CC521380981J00115476114.htm,北京,"软件/互联网开发/系统集成,软件工程师",不限,不限,职位亮点 五险一金 绩效奖金 弹性工作 带薪年假 职位描述 技能要求： Linux 数据库 职位描述： 1、负责大数据平台的软硬件日常运维工作，包括软件部署、配置、升级、管理、优化、监控报警； 2、负责分析大数据平台各个组件运行状态，负责大数据平台运行故障的分析、定位和解决，并根据业务场景进行定制优化； 3、负责业务集群日常问题的解答、汇总整理，定期反馈到研发，并跟踪解决进度等； 4、参与大数据集群自动化运维工具的设计与实施； 5、参与新技术、新组件的技术探索、测试和应用。 岗位要求： 1、大专以上学历，计算机相关专业；  2、熟悉UNIX/LINUX操作系统，具备基本的网络配置等操作； 3、熟练使用shell/Python，编写监控脚本； 4、熟练使用ORACLE数据库、SQL语言； 5、可以做中间键监控； 6、良好的学习能力、服务意识、良好的文档编写能力； 7、良好的服务意识和团队合作精神；  8、较强的责任心和沟通协调能力，能承担较大工作强度。 工作地点 北京市大兴区亦庄经济开发???荣华南路2号大族广场T2-1502 查看地图
大数据项目架构师、高级开发工程师,,北京益财达科技有限公司,北京益财达科技有限公司,https://jobs.zhaopin.com/CZ617649930J00118071612.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,5-10年,职位亮点 五险一金 餐补 职位描述 技能要求： 分布式 Java ETL  数据仓库 岗位职责： 1、负责数据仓库、BI项目的规划设计、架构搭建开发； 2、负责数据仓库和业务数据集市维度建模； 3、精通各类数据可视化控件，具有数据可视化方面的设计和开发经验； 4、良好的问题分析能力和沟通表达能力。 任职要求： 1、  大学本科及以上学历，计算机、数学或统计学相关专业，至少5年以上大数据项目开发经验，3年以上Hadoop、Spark、数据仓库、BI项目经验； 2、  精通java语言，有分布式Java系统研发经验，熟悉Java/python开发经验优先； 3、  掌握数据仓库理论、模型设计方法、ETL设计理论等，能够独立完成数据仓库、数据集市等项目的开发、数据模型设计及应用开发； 4、精通hive、hbase、impala、spark-sql等大数据开发环境，并熟练进行开发，具备海量数据开发能力； 5、熟悉ETL工具Kettle、Informatica等； 6、熟练掌握SSM、dubbo开发框架，有Springboot、Spring cloud等框架项目经验优先； 7、熟练使用MySQL、Oracle等数据库，具备较强的SQL编码能力； 8、熟悉常见的聚类、分类、回归等机器学习算法优先考虑。 工作地点 北京市西城区北三环中路6号伦洋大厦3层305 查看地图
软件工程师,,寰宇优才教育科技(北京)有限公司,寰宇优才教育科技(北京)有限公司,https://jobs.zhaopin.com/CC525173180J00126418709.htm,北京,"软件/互联网开发/系统集成,软件工程师",大专,不限,职位亮点 周末双休 定期体检 员工旅游 节日福利 带薪年假 交通补助 餐补 房补 职位描述 1. 了解Go、Java、C、C++、Python等语言至少一种； 2. 了解HTTP、TCP/IP、UDP协议； 3. 了解部署Hyperledger或Ethereum； 4. 了解集群技术、系统性能调优； 5. 对算法有一定要求，了解常用算法的思想，能写出伪代码；熟悉常用加密算法，知道各种加密算法的适合场景； 6. 至少阅读过一个开源框架。 工作地点 朝阳区爱家臻品宫二层 查看地图
数据采集工程师(J10292),,北京好车帅帅科技有限公司,北京好车帅帅科技有限公司,https://jobs.zhaopin.com/CC819976030J00134468511.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,5-10年,职位描述 岗位职责:1. 5年及以上Python爬虫经验，良好的编码风格及编码能力2. 熟悉HTML、CSS、JavaScript等页面技术，熟悉网页布局和架构，熟悉HTTP等协议3. 熟练使用爬虫相关技术，如urlib、requests、bs4、xpath、css、正则等，能够从结构化和非结构化的数据中获取信息4. 掌握Linux基本操作，能够编写shell脚本优先5. 熟悉MySQL、MongoDB、Oracle、Redis、MongoDB等数据库中至少一种，熟悉SQL语言6. 熟悉常见的反爬技术及解决办法，如User-Agent、IP代理、cookie池等，有爬虫、反爬机制研发经验优先7. 熟悉常用爬虫框架Scrapy，有开发爬虫框架经验优先、有过分布式系统使用及开发经验的优先8. 有良好的思维能力、自学能力，有责任心，有团队精神，对技术研发感兴趣，有较强的钻研精神，动手能力强任职要求:1. 研究目标网站、网页、链接的特点、发现其规律和特点，负责多平台数据的采集2. 参与爬虫系统、解析系统的设计开发，数据库设计3. 参与设计策略的优化，提升网页抓取的效率和质量4. 设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点攻克 工作地点 北京市海淀区西直门外大街168号腾达大厦9层 查看地图
自动化测试,,北京东方融创信息技术有限公司,北京东方融创信息技术有限公司,https://jobs.zhaopin.com/CC673927723J00048144215.htm,北京,"IT质量管理/测试/配置管理,软件测试",本科,1-3年,职位亮点 周末双休 五险一金 年底双薪 带薪年假 节日福利 职位描述 岗位职责： 1，完成中信云平台自动化测试脚本开发工作。 2，完成自动化测试框架的更新维护工作。 岗位要求： 1，计算机、软件相关专业，本科以上学历，至少一年自动化测试开发经验。 2，熟练使用Python、Java开发语言其中一种。 3，熟悉 Rest 接口规范，了解消息队列中间件至少一种，了解 Json 数据交换格式。 4，了解自动化测试框架的基本组成架构和原理。 5，有互联网产品自动化测试、前后端分离、微服务技术经验者最佳。 工作地点 朝阳区新源南路6号京城大厦 查看地图
搜索算法专家,,游瑞世纪(北京)管理咨询有限公司,游瑞世纪(北京)管理咨询有限公司,https://jobs.zhaopin.com/CC387628086J00045871909.htm,北京,"软件/互联网开发/系统集成,算法工程师",本科,5-10年,职位亮点 五险一金 周末双休 免费班车 定期体检 补充医疗保险 带薪年假 节日福利 餐补 职位描述 某大型互联网新媒体公司 岗位职责： 1、利用机器学习技术，改进资讯推荐系统，优化用户的阅读体验； 2、分析基础数据，深度挖掘用户兴趣、文章价值，增强推荐系统的预测能力； 3、解决自然语言处理、CTR预估、优化理论、深度学习、强化学习等对应工业化问题。 任职条件： 1、硕士及以上，计算机相关专业； 2、 热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣； 3、具备较强的编码能力，熟悉Linux，熟悉Java和Python语言优先； 4、有独立研究、实验的能力，优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情； 5、具有推荐系统，计算广告，自然语言处理，搜索引擎，分布式系统研发等相关技术有经验者优先； 6、有分布式研发经验者(Hadoop/HBase/Hive/Storm/Kafka)优先； 7、熟悉常用数据结构、算法、有自然语言处理、机器学习或数据挖掘经验者优先； 8、 有搜索引擎、个性化推荐、广告、数据平台相关经验优先。 工作地点 北京市朝阳 查看地图
数据分析专员,,北京典金球科技有限公司,北京典金球科技有限公司,https://jobs.zhaopin.com/CC518186530J00123131514.htm,北京,"咨询/顾问/调研/数据分析,数据分析师",本科,1-3年,职位亮点 五险一金 全勤奖 餐补 房补 带薪年假 补充医疗保险 员工旅游 周末双休 职位描述 技能要求： MySQL Python BI R 数据分析 数据处理 早9晚6，双休，法定假日，节日福利，旅游餐补，房补，五险一金，补充医疗，带薪病假------------------------------------------------------------------BI报表平台的配置与功能开发，建立自助式分析平台，并负责并对异常数据进行预警；负责公司数据统计/挖掘模型的构建、优化、开发工作；负责统计计算、预处理、清洗、分析各类业务数据； 负责数据统计分析报告撰写。-----------------------------------------------------------------------------------------任职资格：统计/应用数学/计算数学/计算机科学/信息管理相关专业本科以上学历；具备BI平台搭建及持续运营经验，具备数据挖掘/机器学习工作经验优先；熟悉主流数据数据分析/挖掘工具，包括但不限于Python、R等；熟悉mysql数据库，有实际的算法开发经验及建模经验，能够熟练使用SQL语句； 工作地点 北京市朝阳区三间房东路甲1号懋隆文化创意园20栋C单元 查看地图
数据分析师,,和信电子商务有限公司,和信电子商务有限公司,https://jobs.zhaopin.com/CC584633427J00120065109.htm,北京,"咨询/顾问/调研/数据分析,数据分析师",本科,3-5年,职位亮点 节日福利 五险一金 带薪年假 弹性工作 周末双休 绩效奖金 职位描述 岗位职责： 1.为业务提供数据支持，根据业务发展情况不断完善日常报表 2.熟悉用户生命周期管理建设，搭建用户分层体系，针对细分人群制定精细化策略，提升用户活跃及留存； 3. 整理并分析网站数据，撰写分析报告，从数据的角度给出运营建议； 4.密切关注行业动态及竞品情况，不断优化更新运营策略，及时对活动效果复盘 5. 善于发现业务中存在的问题，进行深度专题分析，形成结论并独立撰写分析报告。 任职要求： 1、 金融、统计、数学、计算机等专业优先； 2、 熟练使用Excel、SQL、SPSS，能够使用SAS、R、Python者优先； 3、积极主动，责任心强，考虑问题细致，执行力强。 工作地点 北京市朝阳区建国路92号世茂大厦C座13层 查看地图
量化投资经理(期货研究方向),,新时代证券股份有限公司,新时代证券股份有限公司,https://jobs.zhaopin.com/CC000566841J00094668514.htm,北京,"证券/期货/投资管理/服务,投资经理",硕士,3-5年,职位亮点 五险一金 餐补 带薪年假 定期体检 职位描述 岗位职责:1、量化投资策略研究，量化模型开发及测试，期货相关策略开发；  2、量化产品投资、交易及资金管理，包括策略调试、维护、监控；  3、日常量化研究支持与风险分析及数据库维护。任职要求:1、硕士研究生以上学历，金融工程、数量经济学、应用数学、物理学、计算机等相关专业毕业，金融与其他专业复合背景者优先考虑；  2、具有3年以上期货相关公司工作经验，1年以上期货实盘业绩；  3、熟悉期货基本面分析，具有扎实数理基础；  4、具有一定编程能力，掌握至少一门编程语言，如Python、Matlab、c/c++等语言；  5、诚实守信，具有良好的职业操守；具有良好的组织、沟通能力和团队合作精神。 工作地点 西海国际中心 查看地图
it设备维护工程师,,北京德亚维科技有限公司,北京德亚维科技有限公司,https://jobs.zhaopin.com/CC547901523J00103243513.htm,北京,"IT运维/技术支持,IT技术支持/维护工程师",大专,1-3年,职位亮点 五险一金 年底双薪 加班补助 带薪年假 节日福利 职位描述 a) 负责变更方案技术方案编写、完成系统责任人提出的文档输出任务。 b) 负责故障处理及报告相关内容编写，并报系统责任人汇总及上交。 c) 负责与系统责任人沟通，完成客户要求。 d) 负责处理监控工程师反馈的问题、ITSM内被派工作。 e) 日常维护工作，AIX、Linux系统日常运维，变更操作等。 1、 三年以上规模化维护经验； 2、 精通AIX或Linux系统维护，系统故障定位及处理； 3、 责任心强、抗压能力强，能够完成分配的各项工作； 4、 了解主流硬件厂商设备配置； 5、 思路清晰，有一定的表达和沟通能力； 6、 精通脚本者优先，至少一种（Shell/Python/Java）； 7、 熟悉自动化运维及监控。 工作地点 亦庄经济开发区 查看地图
高级导航算法工程师,,北京众星智能科技有限责任公司,北京众星智能科技有限责任公司,https://jobs.zhaopin.com/CC287853488J00136806513.htm,北京,"软件/互联网开发/系统集成,算法工程师",本科,3-5年,"职位亮点 创业公司 绩效奖金 股票期权 弹性工作 节日福利 五险 项目奖金 每年多次调薪 职位描述 技能要求： C++  C#  Python 导航算法 熟悉机器人 岗位职责：1、  负责全覆盖路径规划技术的研发，包括：路径规划，自主避障，惯性导航等；2、  设计机器人室内、室外路径规划方案并实现算法；3、  算法的移植和产品化，实现全覆盖路径规划。 任职要求1、  本科及以上学历, 自动化、计算机等相关专业，2年以上相关工作经验；2、  熟悉机器人室内、室外导航方案；熟悉基于视觉、激光、超声波、陀螺仪等多传感器融合的导航算法；熟悉惯性导航解决方案；3、  精通C++、C#、Python中至少一种开发语言；4、  能主动了解行业的新技术和新产品动态，技术钻研能力强；5、  具有实际惯导项目经验者优先。 工作地点 北京市大兴区西红门嘉悦广场2号楼413室 查看地图"
3D动作设计师（二次元）,,北京巴别时代科技股份有限公司,北京巴别时代科技股份有限公司,https://jobs.zhaopin.com/263865313250807.htm,北京,"艺术/设计,三维/3D设计/制作",大专,3-5年,职位亮点 节日福利 五险一金 年底双薪 餐补 带薪年假 定期体检 员工旅游 职位描述 岗位职责：1.参与unity游戏引擎内物理碰撞效果的制作。2.根据项目需求，参与技术方案的制定，并且能开发提高动画部门制作效率的生产工具。3.参与动画制作流程，能协同动作组同事解决技术问题、查找问题。任职要求：1.熟悉unity3d，喜欢二次元，有游戏动作制作经验者优先，参与过3D游戏项目研发者优先；2.熟悉掌握3dmax，熟悉骨骼动画；3.熟悉3dmaxScript或者python； 4.思路清晰明确、可执行度高、善于创新工作方式方法。 工作地点 北京市海淀区知春路7号致真大厦三座
高级容器运维工程师,,易宝支付有限公司,易宝支付有限公司,https://jobs.zhaopin.com/CC120521078J00100292513.htm,北京,"IT运维/技术支持,其他",本科,5-10年,职位亮点 弹性工作 节日福利 周末双休 定期团建 五险一金 年底双薪 补充医疗保险 定期体检 职位描述 技能要求： 机房运维 容器云运维    职位描述： 1.维护应用系统稳定正常运行； 2. 参与容器云及自动化运维平台的开发； 3.负责处理系统各类故障，问题快速定位和解决； 4.负责维护自主研发容器云，并配合应用向容器云迁移 任职资格: 1.本科及以上学历，计算机、通信、信息技术等相关专业，具有2年以上Linux运维经验； 2.精通Linux系统及相关应用（如Nginx、Mysql、Redis等）的部署及调优； 3.具有Linux下自动化脚本编写能力（Shell、Python等）； 4.熟悉Linux下应用集群、高可用和负载均衡技术； 5.熟悉网络，了解基本网络设备； 6.熟悉openstack、docker、kubernetes等云计算技术者优先； 7.熟悉ceph、glusterfs等分布式存储者优先 工作地点 朝阳区万通中心D座7层 查看地图
资深搜索引擎开发工程师,,游瑞世纪(北京)管理咨询有限公司,游瑞世纪(北京)管理咨询有限公司,https://jobs.zhaopin.com/CC387628086J00073208009.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,3-5年,"职位亮点 五险一金 餐补 带薪年假 交通补助 节日福利 周末双休 股票期权 定期体检 职位描述 【职位概述】网页搜索项目，承载着PC及WAP的网页搜索，直接服务数亿中国网民，是一个追求高并发、高性能和高可用的系统。 在这里有深厚的技术积淀，有浓郁的技术氛围，高性能、高并发的架构设计，高效的算法设计，极致的代码实现，以及其他很多核心的技术实现。 在这里，我们还可以一起探索深度学习的架构设计和算法优化，让搜索变得更智慧。 同时，我们也拥有很多创新的机会，为用户提供更好更有趣的搜索体验。 【职位诱惑】网页检索核心架构开发和性能优化，资源充足、开发给力、技术氛围浓厚。  岗位职责： 1. 网页检索数据制作的架构和性能优化； 2. 线上检索系统的架构和性能优化； 3. 通用搜索引擎的架构设计和开发； 任职条件： 1.基础扎实,熟练掌握C/C++语言,2年以上Linux环境开发经验； 2.了解TCP/IP、HTTP等网络协议，掌握socket网络编程； 3.了解常用数据结构和算法，并能灵活运用； 4.熟悉Linux系统，熟练掌握shell、awk、python等脚本工具； 5.有较强的分析问题和解决问题的能力； 6.逻辑思维清晰，良好的文字和语言沟通表达能力，有良好的团队合作精神。 工作地点 海淀区 查看地图"
生物信息主管,,北京星云医学检验实验室有限公司,北京星云医学检验实验室有限公司,https://jobs.zhaopin.com/CC506166788J00126552809.htm,北京-大兴区,"生物/制药/医疗器械,临床数据分析员",本科,3-5年,职位亮点 节日福利 五险一金 补充医疗保险 年底双薪 交通补助 餐补 职位描述 1、负责转录组相关产品特别是单细胞转录组生物信息学流程研发工作，工作内容包括研发方案制定、信息分析技术攻坚、分析流程开发、流程测试、报告撰写、相关技术文档整理； 2、相关产品的信息分析流程优化升级； 3、掌握相关技术动态，掌握国内外相关生物信息学新技术、新方法的发展趋势，并进行新技术的研发； 4、领导交代的其他任务。 任职条件：1.本科及以上学历，生物信息学、分子生物学、遗传学、计算机、数学、统计学或相关专业； 2.三年及以上高通量测序信息分析相关经验 3.从事研发工作相关的信息分析工作； 4.熟练使用Python、R、C/C++、Perl等编程语言一种或多种; 5.熟悉各种生物学数据库和分析软件，有较强程序开发能力; 6.学习创新能力强，具备良好的沟通、协调能力和团队合作精神，责任心强，认真细致； 7. 优秀的英文阅读能力，能熟练阅读英文文献； 工作地点 经海产业园 查看地图
软件测试工程师,,北京捷通华声科技股份有限公司,北京捷通华声科技股份有限公司,https://jobs.zhaopin.com/120359452259045.htm,北京,"IT质量管理/测试/配置管理,软件测试",本科,1-3年,职位亮点 五险一金 绩效奖金 每年多次调薪 项目奖金 晋升空间 职位描述 技能要求： 测试 自动化测试 软件测试 白盒测试 灰盒测试 性能测试 职位描述： 1.根据项目说明、设计文档、使用说明书等，做好测试前的准备工作，保证产品测试工作的计划性与规范性； 2.按照测试流程、计划以及对产品特性的把握，编写测试案例，确保测试目的的达成； 3.根据测试计划及测试案例，执行测试，确保在软件发布前基本排除其缺陷； 4.根据测试结果，与开发部门等反复沟通测试情况，修正测试中发现的缺陷，完善软件性能； 5.整理测试文档，编写测试总结； 6.完成测试相关工具的开发。 任职资格： 1.学历要求： -统招本科及以上学历。 2.能力要求： -熟悉java、C/C++、Python其中一种语言，具备软件工程理论知识，精通软件测试理论及测试方法； -能够熟练书写测试脚本、测试用例，熟练使用各种测试工具； -熟悉Junit/gtest/unittest其中一种框架。 3.优先考虑： -有团队管理经验者优先。 工作地点 北京市海淀区中关村软件园2A楼2101
